Search results:

    eventEmitter git://github.com/Wolfy87/EventEmitter.git
    eventie git://github.com/desandro/eventie.git
    knockout git://github.com/SteveSanderson/knockout
    reveal.js git://github.com/hakimel/reveal.js/
    eventemitter2 git://github.com/hij1nx/EventEmitter2
    autofill-event git://github.com/tbosch/autofill-event.git
    knockout-mapping git://github.com/SteveSanderson/knockout.mapping.git
    loglevel git://github.com/pimterry/loglevel.git
    isteven-angular-multiselect git://github.com/isteven/angular-multi-select.git
    clever-datatables git://github.com/CleverStack/clever-datatables.git
    mocha.events git://github.com/nowells/mocha.events.git
    jquery.event.drag-drop git://github.com/dextermilo/jquery.threedubmedia.git
    angular-growl-v2 git://github.com/JanStevens/angular-growl-2.git
    clever-modal git://github.com/CleverStack/clever-modal.git
    clever-messenger git://github.com/CleverStack/clever-messenger.git
    clever-timezone-frontend git://github.com/CleverStack/clever-timezone-frontend.git
    clever-currency-frontend git://github.com/CleverStack/clever-currency-frontend.git
    clever-calendar git://github.com/CleverStack/clever-calendar.git
    clever-form-builder git://github.com/CleverStack/clever-form-builder.git
    clever-browserdetect git://github.com/CleverStack/clever-browserdetect.git
    backbone.eventbinder git://github.com/marionettejs/backbone.eventbinder.git
    jquery-Mustache git://github.com/jonnyreeves/jquery-Mustache.git
    clever-upload-frontend git://github.com/CleverStack/clever-upload-frontend.git
    Eventable git://github.com/madebymany/eventable.git
    multilevelpushmenu git://github.com/adgsm/multi-level-push-menu.git
    knockout-delegatedEvents git://github.com/rniemeyer/knockout-delegatedEvents.git
    angular-reverse-url git://github.com/incuna/angular-reverse-url.git
    jquery.event.move git://github.com/stephband/jquery.event.move.git
    jquery.event.swipe git://github.com/stephband/jquery.event.swipe.git
    angular-multi-select git://github.com/isteven/angular-multi-select.git
    pointerevents-polyfill git://github.com/components/pointerevents-polyfill.git
    jquery.event.scrollizzle git://github.com/wwwsevolod/jquery.event.scrollizzle.git
    jquery-outside-events git://github.com/cowboy/jquery-outside-events/
    backbone-eventbroker git://github.com/reallyenglish/backbone-eventbroker.git
    jquery-powertip git://github.com/stevenbenner/jquery-powertip.git
    dynatable git://github.com/JangoSteve/jquery-dynatable.git
    angular-flot git://github.com/develersrl/angular-flot.git
    backbone-events-standalone git://github.com/n1k0/backbone-events-standalone.git
    angular-seo git://github.com/steeve/angular-seo.git
    eventmaster git://github.com/dexteryy/EventMaster.git
    backbone-events git://github.com/jrf0110/backbone-events
    jquery.dragdrop git://github.com/steveluscher/jquery.dragdrop
    jquery-mobile-events git://github.com/caseywebdev/jquery-mobile-events
    ng-biscuit git://github.com/stevermeister/ng-biscuit.git
    knockout-projections git://github.com/SteveSanderson/knockout-projections.git
    events-emitter git://github.com/IndigoUnited/events-emitter.git
    scrollReveal.js git://github.com/julianlloyd/scrollReveal.js.git
    event-emitter git://github.com/thomaswelton/bower-event-emitter.git
    event-shim.js git://github.com/necolas/event-shim.js.git
    event-source-polyfill git://github.com/Yaffle/EventSource.git
    eve-adobe git://github.com/adobe-webplatform/eve.git
    instafeed.js git://github.com/stevenschobert/instafeed.js.git
    levenshtein git://github.com/gf3/Levenshtein.git
    easytabs git://github.com/JangoSteve/jQuery-EasyTabs.git
    angular-growl-2 git://github.com/JanStevens/angular-growl-2.git
    slidesjs3-bower git://github.com/everlaat/Slides.git
    ng-wig git://github.com/stevermeister/ngWig.git
    react-events git://github.com/jhudson8/react-events.git
    events git://github.com/gburghardt/events.git
    zurb-reveal git://github.com/zurb/reveal.git
    microevent git://github.com/dezoxel/microevent.js.git
    scroll-reveal git://github.com/julianlloyd/scrollReveal.js.git
    ractive-events-tap git://github.com/RactiveJS/Ractive-events-tap.git
    js-logger git://github.com/jonnyreeves/js-logger.git
    svg4everybody git://github.com/jonathantneal/svg4everybody.git
    date-utils git://github.com/JerrySievert/node-date-utils.git
    angular-template-retriever git://github.com/nelsonomuto/angular-template-retriever
    eventmap git://github.com/freezedev/eventmap.git
    angular-growl-3 git://github.com/JanStevens/angular-growl-2.git
    mrwhite-less-mixins git://github.com/believer/mrwhite-less-mixins.git
    xv-angular-eat-event git://github.com/XivicSilver/xv-angular-eat-event.git
    jsbn git://github.com/stevedomin/jsbn.git
    angular-prevent-default git://github.com/qloo/angular-prevent-default.git
    jquery-reveal git://github.com/VitalikL/reveal.git
    sortable-table git://github.com/stevenrskelton/sortable-table.git
    confirm-with-reveal git://github.com/agoragames/confirm-with-reveal.git
    prevent-touch-over-scroll git://github.com/reubenmoes/preventTouchOverScroll.git
    purescript-node-events git://github.com/joneshf/purescript-node-events.git
    eve git://github.com/DmitryBaranovskiy/eve.git
    fox-angular-scrollReveal.js git://github.com/orapouso/fox-angular-scrollReveal.js.git
    angular-color-contrast git://github.com/evert0n/angular-color-contrast.git
    modulex-event-dom git://github.com/kissyteam/event-dom.git
    components-revealjs git://github.com/components/revealjs.git
    jquery-sieve git://github.com/rmm5t/jquery-sieve.git
    modulex-event-custom git://github.com/kissyteam/event-custom.git
    every-insert git://github.com/britco/everyInsert.git
    EventEmitter.js git://github.com/Wolfy87/EventEmitter.git
    MultiLevelPushMenu git://github.com/codrops/MultiLevelPushMenu.git
    knockout-es5 git://github.com/SteveSanderson/knockout-es5.git
    jquery.mousestop git://github.com/galileo-press/jquery-mousestop-event.git
    modulex-event-base git://github.com/kissyteam/event-base.git
    jquery-inputevent git://github.com/dodo/jquery-inputevent.git
    angularjs-multiselect git://github.com/isteven/angular-multi-select.git
    modernizr-csspointerevents git://github.com/suderman/modernizr-csspointerevents.git
    clever-client git://github.com/CleverCloud/clever-client.js.git
    angular-mobile-latest git://github.com/kievechua/bower-angular-mobile-latest.git
    ractive-events-keys git://github.com/ractivejs/ractive-events-keys.git
    levelgraph git://github.com/mcollina/levelgraph.git
    backbone.eventstreams git://github.com/pyykkis/Backbone.EventStreams.git
    jquery-pointerevents git://github.com/deepsweet/jquery-pointerevents.git
    simpleGal git://github.com/steverydz/simpleGal.git
    nucleus-angular-dynamic-event git://github.com/nucleus-angular/dynamic-event.git
    nucleus-angular-event git://github.com/nucleus-angular/event.git
    jquery.transitionsend git://github.com/stevenvachon/jquery.transitionsend.git
    angular-redactor-patched git://github.com/cb-talent-development/angular-redactor.git
    angular-event-emitter git://github.com/gdi2290/angular-event-emitter.git
    eventi git://github.com/nbubna/Eventi
    angular-event-aggregator git://github.com/vladgurovich/angular-event-aggregator.git
    angularjs-selectize git://github.com/preventdefault/ng-selectize.git
    backbone-computed git://github.com/blackwoodseven/backbone-computed.git
    can-transition git://github.com/stevenvachon/can-transition.git
    ResponsiveMultiLevelMenu git://github.com/codrops/ResponsiveMultiLevelMenu.git
    customevent-polyfill git://github.com/kaesetoast/customevent-polyfill.git
    EventBus git://github.com/adamRenny/EventBus.git
    angular-raf git://github.com/develersrl/angular-raf.git
    jquery-evergreen git://github.com/webpro/jquery-evergreen-release.git
    resjs git://github.com/steveblue/res.git
    tom32i-event-emitter.js git://github.com/Tom32i/event-emitter.js.git
    jquery-destroy-event git://github.com/IndigoUnited/jquery.destroy-event.git
    nucleus-angular-revealing-panel git://github.com/nucleus-angular/revealing-panel.git
    ractive-events-hover git://github.com/ractivejs/ractive-events-hover.git
    bower-devextreme git://github.com/franklovecchio/bower-devextreme.git
    quail git://github.com/kevee/quail.git
    jquery.cloneEvent git://github.com/instaclick/jquery.cloneEvent.git
    FlashCanvas git://github.com/everlaat/flashcanvas.git
    eventspitter git://github.com/lucaong/eventspitter.git
    jquery-touchslider git://github.com/lusever/TouchSlider.git
    nucleus-angular-prevent-double-click git://github.com/nucleus-angular/prevent-double-click.git
    event-listener-polyfill git://github.com/jonathantneal/EventListener.git
    angular-multilevelpushmenu git://github.com/wuxiaoying/angular-multilevelpushmenu.git
    mrwhite-scss-mixins git://github.com/believer/mrwhite-scss-mixins.git
    threex.domevents git://github.com/jeromeetienne/threex.domevents.git
    binarta.calendar.events.localstoragex.angular git://github.com/binarta/calendar.events.localstoragex.angular.js.git
    everlaat-jquery-simplepagination git://github.com/everlaat/simplePagination.js.git
    eventlistener-polyfill git://github.com/jonathantneal/EventListener.git
    d3-geomap git://github.com/stevenrskelton/d3-geomap.git
    angular-beacon git://github.com/develersrl/angular-beacon.git
    mudcube-eventjs git://github.com/mudcube/Event.js.git
    jquery-dragEvents git://github.com/icholy/dragEvents.jq.js.git
    bootstrap-sass-only git://github.com/StevenClontz/bootstrap-sass-only.git
    toastr-stylus git://github.com/neverfox/toastr-stylus.git
    purescript-events git://github.com/CapillarySoftware/purescript-events.git
    musicmetadata git://github.com/leetreveil/musicmetadata.git
    binarta.calendar.events.angular git://github.com/binarta/calendar.events.angular.js.git
    firebase-humanhash git://github.com/neverfox/firebase-humanhash.git
    asn1js git://github.com/stevedomin/asn1js.git
    binarta.calendar.events.rest.angular git://github.com/binarta/calendar.events.rest.angular.js.git
    angular-adaptive-templating git://github.com/ghengeveld/angular-adaptive-templating.git
    event_emitter git://github.com/shokai/event_emitter.js
    gulp-stylus git://github.com/stevelacy/gulp-stylus.git
    evernote git://github.com/evernote/evernote-sdk-js.git
    codemirror-states git://github.com/lusever/codemirror-states.git
    polymer-eventemitter git://github.com/addyosmani/polymer-eventemitter.git
    eslevels git://github.com/mazurov/eslevels.git
    jquery.event.pointertouch git://github.com/timmywil/jquery.event.pointertouch.git
    touchtap-event.js git://github.com/Tyriar/touchtap-event.js.git
    eventdispatcher.js git://github.com/mrdoob/eventdispatcher.js.git
    angular-events git://github.com/thebigredgeek/angular-events.git
    backbone-event-logger git://github.com/pchw/backbone-event-logger.git
    EventSource git://github.com/Yaffle/EventSource.git
    jquery-object-fit git://github.com/steveworkman/jquery-object-fit
    PublicEvent git://github.com/AntonMacias/PublicEvent.git
    pizzaplate git://github.com/HermanosClever/PizzaPlate.git
    raphael-eve git://github.com/dunice-igort/raphael-eve.git
    ga-event-track git://github.com/UMNLibraries/ga-event-track.git
    bump git://github.com/stevepeak/bump.git
    hevent git://github.com/Hiswe/hevent.git
    bootstrap-windows git://github.com/stevepeak/bootstrap-windows.git
    eventbox git://github.com/ydaniv/eventbox.git
    microevents git://github.com/jeromeetienne/microevent.js.git
    add-events git://github.com/forbesmyester/addEvents.git
    angular-ui-select2-stereosteve git://github.com/stereosteve/ui-select2.git
    levelgraph-n3 git://github.com/mcollina/levelgraph-n3.git
    kojs git://github.com/SteveSanderson/knockout/blob/master/build/output/knockout-latest.js
    dom_event_delegator git://github.com/gburghardt/dom_event_delegator.git
    normalize.sass git://github.com/leventekk/normalize.sass.git
    jquery.eventListener git://github.com/codeBelt/jquery-eventListener.git
    addeventcapabilities git://github.com/Toxicode/eventcapabilities.git
    time-js git://github.com/zever/time
    angular-ts git://github.com/steve-taylor/angular-ts.git
    datatables-visualevent git://github.com/DataTables/VisualEvent
    backbone.foundation.reveal.modal git://github.com/shaohua/backbone.foundation.reveal.modal
    flag-icon git://github.com/stevenrskelton/flag-icon.git
    pointer-events git://github.com/Wildhoney/PointerEvents.git
    GaTrackingTwEvent git://github.com/kashiro/GaTrackingTwEvent
    bacon.fromonevent git://github.com/wolfflow/bacon.fromonevent.git
    rsasync git://github.com/stevedomin/rsasync.git
    Ractive-events-swipe git://github.com/ekanna/Ractive-events-swipe.git
    socketjs-events git://github.com/daanvanhulst/socketjs-events.git
    pem-js git://github.com/stevedomin/pem-js.git
    evento git://github.com/g4code/evento.git
    frame-events git://github.com/jtangelder/frame-events.git
    googlemaps-ts git://github.com/steve-taylor/googlemaps-ts.git
    sieve git://github.com/maxhauser/sieve.git
    SVGEVentListener git://github.com/madsgraphics/SVGEventListener.git
    reversible-router git://github.com/simonfan/reversible-router.git
    jquery.reverse git://github.com/michael-lawrence/jquery.reverse.git
    everlive git://github.com/telerik/backend-services-js-sdk.git
    angular-reverse-geocode git://github.com/cornflourblue/angular-reverse-geocode.git
    soma-events git://github.com/soundstep/soma-events.git
    addEvents git://github.com/forbesmyester/addEvents.git
    ForceTK git://github.com/developerforce/Force.com-JavaScript-REST-Toolkit.git
    google.geolocation-ts git://github.com/steve-taylor/google.geolocation-ts.git
    uevents.js git://github.com/acornejo/uevents.js.git
    levelgraph-jsonld git://github.com/mcollina/levelgraph-jsonld.git
    konami-code-event git://github.com/caiogondim/js-konami-code-event.git
    bind-event-handler git://github.com/adam-l/bind-event-handler.git
    Events git://github.com/mark-rolich/Event.js.git
    angular-event-pipeline git://github.com/thebigredgeek/angular-event-pipeline.git
    final-events git://github.com/finalclass/final-events.git
    fusion-framework git://github.com/fusion-events/fusion-framework.git
    Macchiato-eventbus git://github.com/petitpre/Macchiato-eventbus.git
    GaTrackingErrorEvent git://github.com/kashiro/GaTrackingErrorEvent
    jQuery.preventMacBackScroll git://github.com/micho/jQuery.preventMacBackScroll.git
    latest-events git://github.com/kjbekkelund/latest-events.git
    component-event git://github.com/sjlu/component-event.git
    eventmanager git://github.com/BrandonZacharie/EventManager.js.git
    EventDispatcher git://github.com/soenkekluth/EventDispatcher.git
    adapt-listRevealMenu git://github.com/kirsty-hames/adapt-listRevealMenu.git
    no.events git://github.com/pasaran/no.events.git
    microevent-jc git://github.com/jamiecopeland/microevent.js.git
    jumbotron git://github.com/stereosteve/jumbotron.git
    jquery-shift-heading-levels git://github.com/jaschaephraim/jquery-shift-heading-levels.git
    eventsource-monitor git://github.com/forbesmyester/eventsource-monitor.git
    event-amd git://github.com/borrey/event-amd.git
    events-helper-element git://github.com/poying/events-helper-element.git
    esrever git://github.com/mathiasbynens/esrever.git
    hasEvent git://github.com/Zorbash/hasEvent.git
    backbone.viewevents git://github.com/andreypopp/backbone.viewevents
    ford.js git://github.com/developit/ford.js.git
    EventEmitter.coffee git://github.com/SoftwareDevPro/EventEmitter.coffee.git
    eventhub.js git://github.com/elishacook/eventhub.js.git
    xhr-upload-queue git://github.com/stevenbenner/jquery-xhr-upload-queue.git
    ext.ux.eventsource git://github.com/wilk/Ext.ux.EventSource.git
    Backbone.DeclarativeEvents git://github.com/mrjoelkemp/backbone.declarativeEvents.git
    eventcapabilities git://github.com/toxicode/eventcapabilities.git
    eventie.coffee git://github.com/SoftwareDevPro/Eventie.coffee.git
    swipe-reveal git://github.com/adjohnson916/swipe-reveal.git
    evenly git://github.com/mintuz/evenly.git
    listahan git://github.com/marksteve/listahan.js.git
    idle-monitor git://github.com/stevewillard/idle-monitor.git
    MicroEventEmitter git://github.com/gaborsar/MicroEventemitter.git
    fast-levenshtein git://github.com/hiddentao/fast-levenshtein.git
    severino.js git://github.com/raphaelivan/severino.js.git
    backbone-async-event git://github.com/jhudson8/backbone-async-event.git
    reveal.js-fullscreen-img git://github.com/components/reveal.js-fullscreen-img.git
    dingu git://github.com/lukevenediger/dingu.git
    CWEventTracking git://github.com/clivewalkden/cwEventTracking.git
    vd42-reveal git://github.com/VD42/reveal.git
    marionette.regionChildCloseEvent git://github.com/UseAllFive/marionette.regionChildCloseEvent.git
    breve-js git://github.com/barbaracassani/brevejs.git
    handyjs git://github.com/stevepeak/handyjs.git
    EventEmitter-js git://github.com/peichao01/EventEmitter-js.git
    ply-event git://github.com/web-mech/ply-event.git
    rules-engine git://github.com/stevewillcock/rules-engine
    backbone-events-promises git://github.com/shoptology/backbone-events-promises.git
    lunr.de.js git://github.com/severinh/lunr.de.js.git
    angular-dom-events git://github.com/ilovett/angular-dom-events.git
    geteventlisteners git://github.com/alvinteh/geteventlisteners.git
    ember-computed-reverse git://github.com/gdub22/ember-computed-reverse.git
    bottlejs git://github.com/young-steveo/bottlejs.git
    Revealing.js git://github.com/dulaccc/Revealing.js.git
    simulate-dom-event git://github.com/yiminghe/simulate-dom-event.git
    cobu-eventbus git://github.com/cschuller/cobu-eventbus.git
    level-model git://github.com/jwerle/level-model.git
    pure-sass git://github.com/fourseven/pure-sass.git
    ng-infinite-scroll git://github.com/ash-developer/ng-infinite-scroll.git
    event-trigger git://github.com/fnobi/EventTrigger.git
    eventdispatcher git://github.com/soenkekluth/EventDispatcher.git
    handy git://github.com/stevepeak/handyjs.git
    can.eventstream git://github.com/sykopomp/can.eventstream.git
    puredom git://github.com/developit/puredom.git
    jquery-tree git://github.com/daredevel/jquery-tree.git
    angular-components git://github.com/dgs700/angularjs-web-component-development.git
    tseed-angular-event-manager git://github.com/Tomas-Sereikis/Angular-EventManager.git
    lil-event git://github.com/lil-js/event.git
    angular-tiny-eventemitter git://github.com/rubenv/angular-tiny-eventemitter.git
    class-evented git://github.com/seeden/class-evented.git
    reveal-js git://github.com/judsonbsilva/reveal.js.git
    webaudio-controls git://github.com/WebMusicDevelopersJP/webaudio-controls.git
    everlive-responsive git://github.com/telerik/backend-services-responsive-images-client.git
    GaTrackingFbEvent git://github.com/kashiro/GaTrackingFbEvent
    backbone.marionette.treeview git://github.com/everydo/backbone-treeview.git
    Event.js git://github.com/gfarrell/Event.js
    angular-route-rage git://github.com/isteven/angular-route-rage.git
    transform-to-json git://github.com/stevenrskelton/transform-to-json.git
    angular-evening git://github.com/simplicitylabs/angular-evening.git
    sgb-filedrop git://github.com/Smorgasbord-Development/sgb-filedrop.git
    sgb-markdownview git://github.com/Smorgasbord-Development/sgb-markdownview.git
    angular-jqm-events git://github.com/npacemo/angular-jqm-events.git
    levenshtein-steps git://github.com/pseudonym117/Levenshtein.git
    jquery-screen-events git://github.com/lunsdorf/jquery-screen-events.git
    ng-fast-levenshtein git://github.com/jobrapido/ng-fast-levenshtein.git
    sgb-markdown git://github.com/Smorgasbord-Development/sgb-markdown.git
    infieldLabel git://github.com/ten1seven/infieldLabel.git
    bower-reveal-js git://github.com/judsonbsilva/bower-reveal-js.git
    backbone-nestify git://github.com/revelytix/backbone-nestify.git
    audio-support-level git://github.com/shinnn/audio-support-level.js.git
    ofcanvas git://github.com/stevewirts/ofcanvas.git
    sgb-markdownedit git://github.com/Smorgasbord-Development/sgb-markdownedit.git
    templeton git://github.com/developit/templeton.git
